x,y
38.187192208298754, -94.29011633691505
41.82973718456769, -97.44007475241746
40.02920084020692, -94.26223735723323
41.939139936588845, -96.46044317102522
38.39251262561085, -93.79489459586017
38.39591642010709, -93.82493185938038
39.75117043399556, -91.5927117953599
41.84260955663376, -95.60428645699514
37.470780092155955, -92.94072399693523
37.91365219098047, -97.33502260117423
43.15351299719944, -91.92067426995013
41.687380396701755, -103.0925227567245
44.503430499987886, -96.42650220516065
36.89689884344999, -89.51085327657738
